symbol,momentum_12_2,momentum_avg,E/P
CAT,0.91,0.3,0.03
GS,0.88,0.52,0.06
JPM,0.75,0.32,0.07
AXP,0.68,0.43,0.04
DOW,0.68,0.26,0.03
HON,0.6,0.2,0.03
DIS,0.6,0.16,0.02
TRV,0.4,0.14,0.07
UNH,0.4,0.2,0.03
NKE,0.39,0.28,0.02
AAPL,0.37,0.22,0.02
BA,0.35,0.12,0.01
MMM,0.3,0.17,0.04
CRM,0.27,0.18,0.01
HD,0.27,0.19,0.03
MCD,0.27,0.13,0.03
KO,0.24,0.09,0.03
WBA,0.24,0.2,0.08
MSFT,0.23,0.24,0.02
JNJ,0.2,0.09,0.03
IBM,0.19,0.19,0.06
WMT,0.19,0.08,0.03
V,0.18,0.13,0.02
CVX,0.16,0.17,0.03
CSCO,0.13,0.13,0.04
PG,0.13,0.05,0.03
VZ,0.02,0.0,0.09
AMGN,0.01,0.04,0.05
MRK,-0.02,0.06,0.03
INTC,-0.05,0.0,0.08
